OID_,OID1,station_id,carrier_id,carrier_icon,open_time,is_public,auth,is_auth,elect_index,is_online,hasFast,hasSlow,is_network,is_ground,rate
182,,444,25,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.3
183,,454,24,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
184,,456,24,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
185,,458,24,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
186,,462,24,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
187,,464,24,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
188,,466,24,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
189,,468,24,,00:00-24:00,1,1,1,4,1,1,0,0,2,0
190,,470,41,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.8
191,,472,41,,00:00-24:00,1,1,1,4,1,1,0,0,1,1
192,,474,41,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.2
193,,476,41,,00:00-24:00,1,1,1,4,1,1,0,0,1,1
199,,496,41,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
204,,506,139,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
205,,510,9,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.2
206,,512,9,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.714285714
207,,514,145,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
208,,516,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.6
209,,518,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.423076923
210,,520,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.346153846
211,,522,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.8
212,,524,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.9
213,,526,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.45
214,,528,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.65
215,,530,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.1875
216,,534,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.5
217,,536,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,1
218,,538,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.888888889
219,,540,6,,00:00-24:00,1,1,1,4,1,1,1,0,2,0
220,,542,6,,00:00-24:00,1,1,1,4,1,1,1,0,2,0
221,,544,6,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
222,,546,6,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
223,,548,6,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.6
224,,554,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.4
225,,588,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
226,,590,6,,00:00-24:00,1,1,1,4,1,1,0,0,1,1
227,,594,18,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
228,,596,18,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
229,,598,18,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.529411765
230,,600,18,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.65
231,,602,18,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.25
232,,604,54,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
234,,608,18,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
235,,610,18,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.8
236,,614,18,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
237,,618,18,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
238,,620,18,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.7
239,,622,18,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
241,,626,222,,00:00-24:00,1,1,1,4,1,1,0,0,1,1
244,,632,232,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
245,,634,226,,00:00-24:00,1,1,1,4,1,0,1,0,1,0
246,,636,228,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.416666667
247,,638,230,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
248,,640,44,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.826086957
249,,642,236,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.3
250,,644,236,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.8125
251,,646,236,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.541666667
252,,648,236,,00:00-24:00,1,1,1,4,1,1,0,0,1,1
253,,650,236,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.833333333
254,,652,238,,00:00-24:00,1,1,1,4,1,1,0,0,1,1
256,,656,240,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.107142857
257,,658,244,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.5
258,,660,224,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.833333333
259,,662,252,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.5
260,,664,242,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.833333333
261,,666,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
262,,668,40,,00:00-24:00,1,1,1,4,1,0,1,0,1,1
263,,670,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.625
264,,672,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
265,,674,40,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.909090909
