Community,number_of_members,average_occupied_rate,community_center_x,community_center_y,spatial_dispersion,community_modularity,community_contribution,average_edge_weight
246,1,0.0,397965.6582000004,3405389.1929,0.0,0.0,0.0,0.0
245,1,0.0,397796.1974,3405480.9886000007,0.0,0.0,0.0,0.0
180,1,0.0,429373.6193000004,3383347.3768000007,0.0,0.0,0.0,0.0
169,1,0.0,421039.1113999998,3393190.4936,0.0,0.0,0.0,0.0
134,1,0.0,411402.98429999966,3390905.8320000004,0.0,0.0,0.0,0.0
130,1,0.0,405485.8152999999,3388211.158399999,0.0,0.0,0.0,0.0
82,1,0.0,407001.22960000014,3398242.5304000005,0.0,0.0,0.0,0.0
68,1,0.0,405177.5883,3397042.9966,0.0,0.0,0.0,0.0
241,1,0.0,398257.1201,3407115.9868,0.0,0.0,0.0,0.0
60,1,0.0,404956.55630000023,3395662.2618000004,0.0,0.0,0.0,0.0
214,1,0.0,410824.2774999999,3373677.5574,0.0,0.0,0.0,0.0
229,1,0.0,410897.1139000002,3373522.7651000004,0.0,0.0,0.0,0.0
233,1,0.0,394494.9249,3409076.2206999995,0.0,0.0,0.0,0.0
19,1,0.0,405606.18879999965,3383486.0835,0.0,0.0,0.0,0.0
182,1,0.0,428017.5489999997,3382011.5076,0.0,0.0,0.0,0.0
4,1,0.0,402246.67760000005,3378318.6512,0.0,0.0,0.0,0.0
35,1,0.0,412810.2659999998,3389665.6723999996,0.0,0.0,0.0,0.0
63,1,0.0,406191.54389999993,3394753.488500001,0.0,0.0,0.0,0.0
75,1,0.0,399871.3402000005,3394564.9399,0.0,0.0,0.0,0.0
201,1,0.0,411140.1743000001,3404200.4864000008,0.0,0.0,0.0,0.0
100,1,0.0,407817.3090000004,3400918.3281999994,0.0,0.0,0.0,0.0
161,1,0.0,415230.6118999999,3390951.6347,0.0,0.0,0.0,0.0
29,1,0.0,387368.6591999997,3384554.798699999,0.0,0.0,0.0,0.0
78,1,0.0,407301.07170000015,3395963.1943999995,0.0,0.0,0.0,0.0
102,1,0.0,413839.9442999996,3396155.907400001,0.0,0.0,0.0,0.0
207,1,0.0,418421.4009999996,3408572.633300001,0.0,0.0,0.0,0.0
192,1,0.0,425209.51389999967,3380235.8487,0.0,0.0,0.0,0.0
117,1,0.0,411488.5939999996,3382596.2244000006,0.0,0.0,0.0,0.0
209,1,0.0,416434.7971999999,3409040.3706,0.0,0.0,0.0,0.0
158,1,0.0,414355.18599999975,3403309.5912,0.0,0.0,0.0,0.0
6,1,0.0,434027.49000000017,3391055.960999999,0.0,0.0,0.0,0.0
226,1,0.0,414449.9086999996,3361033.5535000004,0.0,0.0,0.0,0.0
