source,target,weight
342,725,0.07142857142857095
260,1093,0.0
260,725,0.0
260,567,0.0
260,818,0.0
260,321,0.0
260,763,0.0
29,715,0.0
29,181,0.0
29,1014,0.0
29,1013,0.0
715,596,0.17361111111111127
715,794,0.039251207729468655
715,1014,0.13440860215053763
715,1013,0.08487654320987674
181,865,0.49583333333333307
181,596,0.4375
1014,592,0.06048387096774188
1014,744,0.13440860215053763
1014,794,0.06837307152875173
1014,1013,0.1478494623655915
319,269,0.0
319,567,0.5
319,582,0.5
319,818,0.5
269,567,0.0
269,818,0.0
269,582,0.0
269,694,0.0
567,818,1.0
567,1093,0.0
284,975,0.0
31,392,0.0
31,431,0.0
31,435,0.0
31,432,0.0
31,35,0.0
31,573,0.0
31,679,0.0
392,435,0.0
392,431,0.0
392,432,0.08333333333333348
431,32,0.0
431,432,0.0
431,593,0.0
435,931,0.0
432,32,0.125
432,593,0.3
432,561,0.3
432,652,0.0
32,593,0.15
32,561,0.15
32,303,0.125
32,865,0.17708333333333326
593,561,0.36
593,652,0.0
561,38,0.6
561,259,0.10000000000000017
561,652,0.0
561,813,0.10000000000000017
971,270,0.0
971,314,0.33333333333333304
971,315,0.0
971,702,0.666666666666667
314,270,0.0
314,315,0.0
314,702,0.22222222222222213
314,650,0.0
315,702,0.0
315,650,0.0
315,270,0.0
702,270,0.0
702,650,0.0
34,840,0.05624999999999997
34,38,0.75
34,813,0.12500000000000022
34,259,0.12500000000000022
34,455,0.6428571428571428
34,207,0.30000000000000004
34,655,0.10714285714285726
34,41,0.0
840,38,0.07499999999999996
840,207,0.029999999999999985
840,259,0.012500000000000015
840,455,0.06428571428571424
840,652,0.0
840,813,0.012500000000000015
840,41,0.0
38,813,0.16666666666666696
38,259,0.16666666666666696
38,207,0.4
38,652,0.0
38,455,0.857142857142857
813,652,0.0
813,259,0.027777777777777877
813,207,0.06666666666666679
813,455,0.14285714285714307
259,207,0.06666666666666679
259,652,0.0
259,455,0.14285714285714307
455,207,0.3428571428571428
455,655,0.12244897959183684
455,474,0.857142857142857
207,655,0.05714285714285721
655,473,0.14285714285714302
655,474,0.14285714285714302
35,573,0.0
35,679,0.5
35,582,1.0
35,846,0.025000000000000022
35,633,0.5
573,679,0.0
573,582,0.0
573,633,0.0
573,846,0.0
679,582,0.5
679,633,0.25
679,846,0.012500000000000011
582,846,0.025000000000000022
582,975,0.833333333333333
846,224,0.025000000000000022
846,407,0.025000000000000022
846,524,0.0
633,899,0.222222222222222
633,441,0.3
36,604,0.45833333333333304
36,583,1.0
36,509,1.0
36,529,1.0
36,560,1.0
36,1029,0.35
604,509,0.45833333333333304
604,529,0.45833333333333304
604,583,0.45833333333333304
604,1029,0.16041666666666654
583,509,1.0
583,529,1.0
583,560,1.0
583,1037,0.0
583,1106,0.0
583,716,0.875
583,1029,0.35
