OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,NEAR_ANGLE,station_id,rate,station_id_1,rate_1,value_,wgs_X,wgs_Y,wgs_X_1,wgs_Y_1,ORIG_FID,Shape_Length
779,59,538,5447.278838266121966,104,164.074703601377081,166.000000000000000,1.000000000000000,1406.000000000000000,0.000000000000000,0.000183577898193,103.976857199999998,30.625334859999999,103.922081599999999,30.638373090000002,779,0.056305966390039
780,59,429,5625.666462132448942,110,-24.914004319665619,166.000000000000000,1.000000000000000,1036.000000000000000,0.000000000000000,0.000177756716779,103.976857199999998,30.625334859999999,104.030278600000003,30.604369240000000,780,0.057388180556452
781,60,287,278.844883929823595,1,-46.371160040006913,168.000000000000000,1.000000000000000,744.000000000000000,0.500000000000000,0.001793111614434,103.978029100000001,30.633725829999999,103.980054800000005,30.631921299999998,781,0.002712893107167
782,60,535,520.266632954599118,2,77.806528189363235,168.000000000000000,1.000000000000000,1394.000000000000000,0.571428571000000,0.000823753440743,103.978029100000001,30.633725829999999,103.979127000000005,30.638321099999999,782,0.004724604828206
783,60,534,523.312314455655155,3,78.312286388571536,168.000000000000000,1.000000000000000,1392.000000000000000,0.732142857000000,0.000511849493316,103.978029100000001,30.633725829999999,103.979086199999998,30.638356250000001,783,0.004749552588028
784,60,70,542.355710032063939,4,-39.592070133470941,168.000000000000000,1.000000000000000,190.000000000000000,0.600000000000000,0.000737523349715,103.978029100000001,30.633725829999999,103.982420599999998,30.630642680000001,784,0.005365732584888
785,60,288,583.166554490273597,5,-87.216068307882495,168.000000000000000,1.000000000000000,746.000000000000000,0.400000000000000,0.001028865588021,103.978029100000001,30.633725829999999,103.978379700000005,30.628474959999998,785,0.005262561744708
786,60,392,655.458582066791564,6,-83.132879042290426,168.000000000000000,1.000000000000000,962.000000000000000,0.166666667000000,0.001271374509084,103.978029100000001,30.633725829999999,103.978908099999998,30.627863280000000,786,0.005928080085719
787,60,56,738.458504365620570,8,-67.652613246337509,168.000000000000000,1.000000000000000,160.000000000000000,0.000000000000000,0.001354172230516,103.978029100000001,30.633725829999999,103.981021999999996,30.627589069999999,787,0.006827684359103
788,60,777,750.925929370868857,9,-74.333110254178379,168.000000000000000,1.000000000000000,2169.000000000000000,0.000000000000000,0.001331689266394,103.978029100000001,30.633725829999999,103.980212399999999,30.627221670000001,788,0.006860823288474
789,60,789,848.325533162899887,10,-173.586865314990433,168.000000000000000,1.000000000000000,2219.000000000000000,0.650000000000000,0.000412577467396,103.978029100000001,30.633725829999999,103.969245999999998,30.632801860000001,789,0.008831566461910
790,60,477,863.120295371554903,11,122.623594797256004,168.000000000000000,1.000000000000000,1176.000000000000000,0.380952381000000,0.000717220556995,103.978029100000001,30.633725829999999,103.973106799999996,30.640243680000001,790,0.008167705057917
791,60,941,889.850857747177088,12,-166.413196472823302,168.000000000000000,1.000000000000000,2703.000000000000000,0.700000000000000,0.000337135147298,103.978029100000001,30.633725829999999,103.969028199999997,30.631769330000001,791,0.009211085335663
792,60,188,908.979910377628585,13,-9.344756694146136,168.000000000000000,1.000000000000000,470.000000000000000,0.800000000000000,0.000220026864969,103.978029100000001,30.633725829999999,103.987397299999998,30.632467900000002,792,0.009452277985999
793,60,771,1554.906821923218104,19,-33.488552171715988,168.000000000000000,1.000000000000000,2139.000000000000000,0.357142857000000,0.000413437727545,103.978029100000001,30.633725829999999,103.991634099999999,30.626093800000000,793,0.015599484198195
794,60,202,1607.304887051496962,20,176.024721275597102,168.000000000000000,1.000000000000000,506.000000000000000,0.000000000000000,0.000622159496967,103.978029100000001,30.633725829999999,103.961295500000006,30.634598239999999,794,0.016756326222097
795,60,1121,1685.175073439164180,21,76.154308108420182,168.000000000000000,1.000000000000000,2025.000000000000000,0.261904762000000,0.000437993208915,103.978029100000001,30.633725829999999,103.982080499999995,30.648515289999999,795,0.015334339540564
796,60,519,1977.576686582723823,25,45.658081477780954,168.000000000000000,1.000000000000000,1336.000000000000000,0.000000000000000,0.000505669391627,103.978029100000001,30.633725829999999,103.992312499999997,30.646593750000001,796,0.019224954656602
797,60,411,2016.637629547681854,26,109.558100731787320,168.000000000000000,1.000000000000000,1000.000000000000000,0.166666667000000,0.000413229090239,103.978029100000001,30.633725829999999,103.970806800000005,30.650808290000001,797,0.018546483693910
798,60,375,2034.699231375187082,28,-36.922311751819294,168.000000000000000,1.000000000000000,928.000000000000000,0.000000000000000,0.000491473130072,103.978029100000001,30.633725829999999,103.995108000000002,30.622834390000001,798,0.020256166755991
799,60,582,2110.460498869280855,30,57.127066759989674,168.000000000000000,1.000000000000000,1562.000000000000000,0.375000000000000,0.000296143898611,103.978029100000001,30.633725829999999,103.989810000000006,30.649805080000000,799,0.019933185556769
800,60,75,2112.498448222619118,31,-33.518433166924908,168.000000000000000,1.000000000000000,208.000000000000000,0.000000000000000,0.000473373128790,103.978029100000001,30.633725829999999,103.996506100000005,30.623348249999999,800,0.021191830902090
801,60,373,2130.696174096374762,32,-29.832396852866339,168.000000000000000,1.000000000000000,924.000000000000000,0.500000000000000,0.000234665085562,103.978029100000001,30.633725829999999,103.997404900000006,30.624316539999999,801,0.021539646359191
802,60,247,2153.093622201934522,33,126.602645973819705,168.000000000000000,1.000000000000000,662.000000000000000,0.500000000000000,0.000232223993813,103.978029100000001,30.633725829999999,103.964473699999999,30.649208450000000,802,0.020578153282857
803,60,775,2441.865940609316567,36,112.320767568623396,168.000000000000000,1.000000000000000,2163.000000000000000,0.312500000000000,0.000281546987722,103.978029100000001,30.633725829999999,103.968140599999998,30.654021680000000,803,0.022576624209604
804,60,68,2666.158429840550070,38,73.406055650442255,168.000000000000000,1.000000000000000,186.000000000000000,0.416666667000000,0.000218791699125,103.978029100000001,30.633725829999999,103.985729800000001,30.656831850000000,804,0.024355470467926
805,60,76,2719.270314896346463,39,136.411115092431345,168.000000000000000,1.000000000000000,212.000000000000000,0.000000000000000,0.000367745712709,103.978029100000001,30.633725829999999,103.957306200000005,30.650471570000001,805,0.026643167909989
806,60,863,2804.409251203841450,40,-128.446839344254670,168.000000000000000,1.000000000000000,2497.000000000000000,0.250000000000000,0.000267436002673,103.978029100000001,30.633725829999999,103.960054700000001,30.613773299999998,806,0.026854841511084
807,60,1019,2830.472485203795713,41,-39.243846337497615,168.000000000000000,1.000000000000000,2891.000000000000000,0.200000000000000,0.000282638324231,103.978029100000001,30.633725829999999,104.001057299999999,30.617754349999998,807,0.028024742157894
